report_date,platform_code,platform_name,account_id,ad_account_id,account_name,imp,click,cost,cv
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,0,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,1.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,4,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,1,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,4,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,2,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,3,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
20240218,Pin,Pine,1,533,ニトリ_SEPTENI,0,1,0.0,0
